country	code	ln_hla_het	hla_het	ln_mort40	ln_le40	ln_le50	ln_le60	ln_le70	ln_le80	ln_le90	ln_le00	ln_le10	europe	asia	africa	americas	oceania	frac_eur	frac_me	frac_easia	frac_africa	frac_am	frac_oc	aa_ln_atd	aa_atd	aa_mdist	aa_mdist_sqr	aa_lanim	aa_lpd1	ln_frac	ln_arable	ln_suitavg	ln_abslat	aa_pdiv	malfal	tropical	desert	distcr1000	frac_migrant	pnativ_60	ln_ypc60	ln_yr_sch1960	ln_pd60	ln_urb60	ln_young	ln_mix_het	oecd	fstdistwtd_usa
"Bolivia"	"BOL"	-1.3517965	0.25877494	-0.051293306	3.5409594	3.69883	3.75345	3.8232143	3.9505427	4.073769	4.142558	4.1937156	0	0	0	1	0	0.23695697	0.0	0.0	0.0	0.76304305	0.0	8.449744	4866.9033	19.390005	442.03564	1.0857565	-0.35065788	0.55366963	0.9932518	-1.0216511	2.8332133	0.627874	0.0113571	64.87835699245787	0	0.45398	0.27632314	0.72367686	7.76726	1.132724	1.1537342	3.6054978	3.7485664	-1.2702974	0	11.575732
"Bosnia and Herzegovina"	"BIH"	-1.1078757	0.3302598			3.9852734	4.0978	4.1894517	4.252396	4.2116365	4.3082204	4.322813	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	8.853665	7000.0	4.625043	21.39103		1.773173	0.48860332	2.9719517	-0.5108256	3.7841897	0.7393743	0.0	0	0	0.0672865	0.0	1.0	7.83201		4.151503	2.944439	3.6532874	-1.0900704	0	
"Botswana"	"BWA"	-1.1219177	0.3256547			3.749504	3.92187	3.9971812	4.1019692	4.1591516	3.9272168	3.972356	0	0	1	0	0	0.0	0.0	0.0	1.0	0.0	0.0	7.2942986	1563.6	4.2961955	18.524406	0.02314156		0.3437656	-0.40047753	-2.9957323	3.0910425	0.7418576	0.3615499	0	1.4546963718673023	0.79926395	0.68799996	0.312	6.40853	0.27429748	-0.13190684	1.1314021	3.819742	-1.1031724	0	20.076466
"Brazil"	"BRA"	-1.1252364	0.32457572	-0.6439761	3.6027768	3.9318256	3.99814	4.070069	4.135112	4.194804	4.2504687	4.291822	0	0	0	1	0	0.6810735	0.0	0.0	0.18353604	0.13539049	0.0	8.563128	5777.3516	7.818273	94.50489	1.9749652	1.0075002	0.43232512	1.9183921	-1.609438	2.3025851	0.71525997	0.0332967	88.56728695544824	0	0.315764	0.90919244	0.09080754	8.14787	0.7195397	2.1371377	3.8044379	3.7637374	-1.0500991	0	4.7821884
"Brunei"	"BRN"	-1.1938754	0.30304456			4.1009893	4.12981	4.2062607	4.258689	4.2993736	4.3337855	4.355837	0	1	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0							0.43282083	0.5364934	-1.4696759	1.5040774		0.0	100	0	0.0335407			9.09043	0.9925921	2.7572558	3.7704594	3.740489	-1.1819456	0	12.535214
"Bulgaria"	"BGR"	-1.1442994	0.31844693	-1.0834527	4.079231	4.1604443	4.23769	4.266284	4.2648964	4.271674	4.2719803	4.2974515	1	0	0	0	0	0.5073628	0.032643393	0.4599938	0.0	0.0	0.0	8.92503	7521.96	4.210897	17.742395	2.3025851	1.5141054	0.33798116	3.4616652	-0.35667497	3.7612002	0.7425018	0.0	0	0	0.0730677	0.0431	0.9569	8.33615	1.8492125	4.264288	3.613617	3.260332	-1.1118743	0	5.150665
"Burkina Faso"	"BFA"	-1.2503567	0.2864026			3.50255	3.61784	3.7111576	3.8358245	3.8805952	3.916041	4.005954	0	0	1	0	0	0.0	0.033950616	0.0	0.9660494	0.0	0.0	7.972466	2900.0	4.405797	19.41105	0.0	0.1667514	0.5525843	2.692598	-1.0498221	2.5649493	0.7410299	1.0	49.82000666128512	0	0.73184496	0.0	1.0	6.70441		2.8783193	1.5475625	3.7207837	-1.242334	0	12.694204
"Burundi"	"BDI"	-1.1101888	0.32949674			3.6635616	3.71932	3.7774837	3.8471498	3.8335671	3.828751	3.9095645	0	0	1	0	0	0.0	0.0	0.0	1.0	0.0	0.0	8.155135	3484.0	1.7224591	2.9673407	0.0		0.25862187	3.6211357	-0.7765288	1.2527629	0.7612937	1.0	75.35375738491533	0	1.00966	0.015999973	0.984	6.05209	-0.44048804	4.6971507	0.6931472	3.7843983	-1.1089377	0	20.069086
"Cambodia"	"KHM"	-1.2068169	0.299148	-0.9187939		3.673766	3.74725	3.775807	3.6538758	4.0145307	4.0511613	4.135746	0	1	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	8.424557	4572.872	10.293791	105.9916		1.0241967	0.19100375	3.042616	-0.7550226	2.5649493	0.6965657	1.0	100	0	0.147114	0.036646068	0.96335393	6.83841	1.5903113	3.4854703	2.332144	3.7493503	-1.2045943	0	12.039059
"Cameroon"	"CMR"	-1.1462754	0.3178183			3.583519	3.72581	3.8303006	3.9354765	3.975056	3.9134474	3.9330554	0	0	1	0	0	0.002155172	0.0	0.0	0.9978448	0.0	0.0	8.005749	2998.7866	3.1823225	10.474392	0.0	-1.6137158	0.62245107	2.5502262	-1.4696759	1.7917595	0.75026923	1.0	94.11981439901624	0	0.405651	0.09182644	0.90817356	7.16935	0.080687694	2.4736028	2.6318889	3.7026744	-1.1131879	0	15.975799
"Canada"	"CAN"	-1.0491015	0.3502523	-2.1150687	4.162003	4.2355547	4.26455	4.286348	4.318528	4.3486905	4.372438	4.3919497	0	0	0	1	0	0.977261	0.0	0.022739017	0.0	0.0	0.0	8.674815	6163.034	6.5350823	50.46665		1.029808	0.5379076	1.6174061	-2.8134108	4.0943446	0.72495025	0.0	0	0	1.46667	0.9534299	0.046570096	9.46622	2.123662	0.69752425	4.2355547	3.5127919	-1.0398507	1	3.8812585
"Cape Verde"	"CPV"	-1.1128999	0.32860464		3.775057	3.881564	3.95058	3.9626975	4.09173	4.1756206	4.240582	4.301007	0	0	1	0	0	0.365	0.0	0.0	0.635	0.0	0.0	8.1911545	4244.8525	5.6391807	34.120655	1.1727729		0.3488242	2.390596		2.7725887	0.7317158		0	0		1.0	0.0	6.6107		3.888259	2.8154087	3.7389233	-1.0571066	0	10.199737
